wavelength flux
5394.451392281388 59.9813
5397.060576453347 44.545967
5399.669760625306 36.125824
5402.278944797265 40.40597
5404.8881289692235 57.539886
5407.4973131411825 42.532818
5410.1064973131415 48.50043
5412.7156814851005 55.239983
5415.3248656570595 44.05835
5417.9340498290185 51.756462
5420.5432340009775 47.461258
5423.152418172936 59.666256
5425.761602344895 51.328995
5428.370786516854 51.45977
5430.979970688813 27.36666
5433.589154860772 58.527477
5436.198339032731 52.810055
5438.8075232046895 50.790646
5441.416707376648 41.511982
5444.025891548607 50.181263
5446.635075720566 52.884125
5449.244259892525 48.328754
5451.853444064484 51.189236
5454.462628236443 50.225002
5457.071812408402 38.673317
5459.680996580361 53.481297
5462.29018075232 51.49314
5464.899364924279 55.501205
5467.508549096238 61.233974
5470.117733268197 52.32912
5472.726917440156 54.203667
5475.336101612115 34.04886
5477.945285784074 48.527557
5480.554469956033 48.265385
5483.163654127992 42.654636
5485.772838299951 45.98236
5488.38202247191 41.200935
5490.991206643869 38.65197
5493.600390815828 46.331085
5496.209574987787 43.596348
5498.818759159746 46.430454
5501.427943331705 58.86721
5504.037127503664 59.60921
5506.646311675622 42.68805
5509.255495847581 64.53311
5511.86468001954 48.943
5514.473864191499 49.828667
5517.083048363458 61.998642
5519.692232535417 53.63961
5522.301416707376 60.86039
5524.910600879335 53.39213
5527.519785051294 44.823017
5530.128969223253 46.654354
5532.738153395212 37.73776
5535.347337567171 48.045868
5537.95652173913 34.794445
5540.565705911089 39.65881
5543.174890083048 51.967087
5545.784074255007 55.662884
5548.393258426966 52.38346
5551.002442598925 45.492718
5553.611626770884 47.39525
5556.220810942843 40.942566
5558.829995114802 48.923553
5561.439179286761 43.884804
5564.04836345872 50.518856
5566.657547630679 49.65608
5569.266731802638 37.258232
5571.875915974597 138.88446
5574.485100146556 924.77167
5577.094284318515 1195.6753
5579.703468490474 788.9262
5582.312652662433 102.59007
5584.921836834392 55.921932
5587.531021006351 37.244545
5590.14020517831 41.685883
5592.749389350269 36.797867
5595.358573522228 50.568768
5597.967757694187 39.74075
5600.576941866146 50.962173
5603.186126038105 54.99532
5605.795310210064 39.89965
5608.404494382023 29.132141
5611.013678553982 43.335167
5613.622862725941 61.10069
5616.2320468979 49.043076
5618.841231069859 47.069588
5621.450415241818 52.87292
5624.059599413777 52.804
5626.668783585736 49.172615
5629.277967757695 56.143845
5631.887151929654 42.41944
5634.4963361016125 46.76262
5637.1055202735715 36.891804
5639.7147044455305 49.398754
5642.3238886174895 51.147778
5644.9330727894485 57.604164
5647.5422569614075 45.17911
5650.1514411333665 51.86683
5652.760625305325 40.340824
5655.369809477284 40.805992
5657.978993649243 46.599365
5660.588177821202 41.34509
5663.197361993161 46.98362
5665.8065461651195 49.378536
5668.4157303370785 42.29054
5671.024914509037 47.63278
5673.634098680996 41.31948
5676.243282852955 42.4463
5678.852467024914 45.717495
5681.461651196873 43.94336
5684.070835368832 41.988274
5686.680019540791 42.321114
5689.28920371275 42.980988
5691.898387884709 36.173164
5694.507572056668 40.314747
5697.116756228627 43.579678
5699.725940400586 44.415848
5702.335124572545 34.267067
5704.944308744504 35.697598
5707.553492916463 52.126793
5710.162677088422 49.812263
5712.771861260381 38.773293
5715.38104543234 49.28374
5717.990229604299 55.27909
5720.599413776257 49.834625
5723.208597948216 42.388103
5725.817782120175 38.39668
5728.426966292134 42.705452
5731.036150464093 49.254414
5733.645334636052 49.89497
5736.254518808011 43.354908
5738.86370297997 35.14631
5741.472887151929 41.177883
5744.082071323888 48.028
5746.691255495847 40.184006
5749.300439667806 51.120174
5751.909623839765 42.72487
5754.518808011724 39.92293
5757.127992183683 42.98756
5759.737176355642 38.504436
5762.346360527601 44.5218
5764.95554469956 35.49712
5767.564728871519 38.79807
5770.173913043478 38.5911
5772.783097215437 45.563805
5775.392281387396 35.54998
5778.001465559355 40.453865
5780.610649731314 35.940002
5783.219833903273 36.780006
5785.829018075232 37.059017
5788.438202247191 45.12835
5791.04738641915 47.83436
5793.656570591109 48.03703
5796.265754763068 47.34314
5798.874938935027 44.736916
5801.484123106986 38.53098
5804.093307278945 43.48433
5806.702491450904 44.24163
